item_hrid,barcode,holdings_level_call_number,item_effective_call_number,item_level_call_number,location_name
it00034984974,3.12066E+14,Winokur 466-492,Winokur 478,Winokur 478,UM Special Collections
it00032703266,3.12066E+14,ML410 .S4 S35,ML410 .S4 S35,ML410 .S4 S35,UM W.E.B. Du Bois General Collections
it00034914341,3.12066E+14,RBR 403-406,RBR 403,RBR 403,UM Special Collections
it00032887076,3.12066E+14,RBR 1538-1546,RBR 1539,RBR 1539,UM Special Collections
it00034999029,3.12066E+14,Savas 1501-1638,Savas 1549,Savas 1549,UM Special Collections
it00034928562,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00032639323,3.12066E+14,UA760 .G6518 1980,UA760 .G6518 1980,UA760 .G6518 1980,UM W.E.B. Du Bois General Collections
it00034991225,3.12066E+14,RBR 730-873,RBR 733,RBR 733,UM Special Collections
it00034988602,3.12066E+14,"NEA 249-253, 435-461",NEA 451,NEA 451,UM Special Collections
it00032745715,3.12066E+14,PN2096.A76 R5 1987,PN2096.A76 R5 1987,PN2096.A76 R5 1987,UM Du Bois Reserves
it00034983315,3.12066E+14,NEA 15-22,NEA 21,NEA 21,UM Special Collections
it00034926079,3.12066E+14,HA201 1940 v.58-61,HA201 1940 v.59,HA201 1940 v.59,UM W.E.B. Du Bois General Collections
it00035160782,624989-3070-UMA,TR845 .A55,TR845 .A55,TR845 .A55,UM W.E.B. Du Bois General Collections
it00035039057,3.12066E+14,M2 .H6 no.71-72,M2 .H6 no.72,M2 .H6 no.72,UM Music Monument
it00035086303,3.12066E+14,"NEYM 127-128, 1206",NEYM 128,NEYM 128,UM Special Collections
it00034988882,3.12066E+14,Winokur 427-428,Winokur 427,Winokur 427,UM Special Collections
it00034983071,3.12066E+14,Brinley 32-33,Brinley 32,Brinley 32,UM Special Collections
it00033392360,3.12066E+14,ML55 .H29,ML55 .H29,ML55 .H29,UM W.E.B. Du Bois General Collections
it00035023238,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:433,MS 369 Box 9:433,UM Special Collections Archival
it00034933494,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00032966771,3.12066E+14,MT40 .K726,MT40 .K726,MT40 .K726,UM W.E.B. Du Bois General Collections
it00033250240,653703-2530-UMA,ML5 .G65,ML5 .G65,ML5 .G65,UM W.E.B. Du Bois General Collections
it00034933415,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034159624,1251492-160-UMA,,73 H 202-10,73 H 202-10,UM Media STORAGE
it00032602968,3.12066E+14,TR835 .M497a,TR835 .M497a,TR835 .M497a,UM W.E.B. Du Bois General Collections
it00034862256,3.12066E+14,D570.9 .S76,D570.9 .S76,D570.9 .S76,UM Special Collections
it00032681052,3.12066E+14,"E51 .U6 no. 198, etc",E51 .U6 no. 166,E51 .U6 no. 166,UM W.E.B. Du Bois General Collections
it00035071291,3.12066E+14,"NEYM 61-62, 1210",NEYM 1210,NEYM 1210,UM Special Collections
it00034926090,3.12066E+14,HA201 1940 v.58-61,HA201 1940 v.61,HA201 1940 v.61,UM W.E.B. Du Bois General Collections
it00034940268,3.12066E+14,HA201 1940 v.32-34,HA201 1940 v.33,HA201 1940 v.33,UM W.E.B. Du Bois General Collections
it00033056382,3.12066E+14,"DK4020 .E45 v. 30, etc",DK4020 .E45 v. 46,DK4020 .E45 v. 46,UM W.E.B. Du Bois General Collections
it00035167446,629082-2270-UMA,NX572 .A75,NX572 .A75,NX572 .A75,UM W.E.B. Du Bois General Collections
it00035055743,3.12066E+14,Fraser 790-791,Fraser 790,Fraser 790,UM Special Collections
it00035022259,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:262,MS 369 Box 6:262,UM Special Collections Archival
it00034997955,3.12066E+14,Savas 1436-1500,Savas 1436,Savas 1436,UM Special Collections
it00033438912,3.12066E+14,ML3849 .B84,ML3849 .B84,ML3849 .B84,UM W.E.B. Du Bois General Collections
it00034517960,3.12066E+14,RBR 1686-1687,RBR 1687,RBR 1687,UM Special Collections
it00033603303,3.12066E+14,ML3785 .S5 1965,ML3785 .S5 1965,ML3785 .S5 1965,UM W.E.B. Du Bois General Collections
it00035049619,3.12066E+14,Fraser 602-619,Fraser 606,Fraser 606,UM Special Collections
it00033377781,3.12066E+14,N1915 .A3,N1915 .A3,N1915 .A3,UM W.E.B. Du Bois General Collections
it00033684743,3.12066E+14,HB501 .M3561 1961,HB501 .M3561 1961,HB501 .M3561 1961,UM W.E.B. Du Bois General Collections
it00033285154,3.12066E+14,N6921 .V5 M8513,N6921 .V5 M8513,N6921 .V5 M8513,UM W.E.B. Du Bois General Collections
it00034174401,3.12066E+14,RBR 1682-1685,RBR 1683,RBR 1683,UM Special Collections
it00034998022,3.12066E+14,Savas 1436-1500,Savas 1497,Savas 1497,UM Special Collections
it00035023149,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 7:336,MS 369 Box 7:336,UM Special Collections Archival
it00035016037,3.12066E+14,"Savas 52, 2086",Savas 52,Savas 52,UM Special Collections
it00035093844,3.12066E+14,NEYM Pam 154-Pam 155,NEYM Pam 154,NEYM Pam 154,UM Special Collections
it00033277266,3.12066E+14,RBR 1407-1414,RBR 1412,RBR 1412,UM Special Collections
it00034170033,3.12066E+14,RBR 1566-1567,RBR 1566,RBR 1566,UM Special Collections
it00035050150,3.12066E+14,Fraser 453-454,Fraser 454,Fraser 454,UM Special Collections
it00033225173,3.12066E+14,ML410.M5 M6,ML410.M5 M6,ML410.M5 M6,UM W.E.B. Du Bois General Collections
it00034995261,3.12066E+14,Vega 166-169,Vega 169,Vega 169,UM Special Collections
it00035040444,3.12066E+14,"Fraser 1003-1007, 1097-1101",Fraser 1004,Fraser 1004,UM Special Collections
it00035044687,3.12066E+14,Savas 1744-1852,Savas 1779,Savas 1779,UM Special Collections
it00034932529,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00034928619,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00034825619,3.12066E+14,NX512.3.A35 E53 2004,NX512.3.A35 E53 2004,NX512.3.A35 E53 2004,UM W.E.B. Du Bois General Collections
it00034890643,3.12066E+14,RBR 100-124,RBR 120,RBR 120,UM Special Collections
it00034977713,3.12066E+14,"NEA 333-371, 424-427, 432-434",NEA 434,NEA 434,UM Special Collections
it00034288646,3.12066E+14,HA201 1930 v.4-7,HA201 1930 v.6,HA201 1930 v.6,UM W.E.B. Du Bois General Collections
it00035165507,3.12066E+14,ML5 .D53,ML5 .D53,ML5 .D53,UM W.E.B. Du Bois Periodicals
it00034991220,3.12066E+14,RBR 730-873,RBR 731,RBR 731,UM Special Collections
it00035096802,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1080,NEYM 1080,UM Special Collections
it00033151071,3.12066E+14,ML390 .M41,ML390 .M41,ML390 .M41,UM W.E.B. Du Bois General Collections
it00033603276,3.12066E+14,MT50.G624 H4,MT50.G624 H4,MT50.G624 H4,UM W.E.B. Du Bois General Collections
it00034991233,3.12066E+14,RBR 730-873,RBR 735,RBR 735,UM Special Collections
it00035096806,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1083,NEYM 1083,UM Special Collections
it00034992181,3.12066E+14,RBR 730-873,RBR 772,RBR 772,UM Special Collections
it00033865198,3.12066E+14,MT145.S28 W48 1969b,MT145.S28 W48 1969b,MT145.S28 W48 1969b,UM W.E.B. Du Bois General Collections
it00034560471,3.12066E+14,,3750,3750,UM Music Media CD
it00033053982,3.12066E+14,"PT1101 .D3 Reihe 17, Bd.6, etc","PT1101 .D3 Reihe 17, Bd.6","PT1101 .D3 Reihe 17, Bd.6",UM W.E.B. Du Bois General Collections
it00035100687,3.12066E+14,NEYM 1-14,NEYM Per 1,NEYM Per 1,UM Special Collections
it00033229727,3.12066E+14,NA1 .P7,NA1 .P7,NA1 .P7,UM W.E.B. Du Bois General Collections
it00035049579,3.12066E+14,RBR 1001-1004,RBR 1001,RBR 1001,UM Special Collections
it00035056202,3.12066E+14,RBR 1801-1802,RBR 1801,RBR 1801,UM Special Collections
it00035023130,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 7:316,MS 369 Box 7:316,UM Special Collections Archival
it00032960347,3.12066E+14,"DK4020 .E45 v.13, 17",DK4020 .E45 v.17,DK4020 .E45 v.17,UM W.E.B. Du Bois General Collections
it00033348223,3.12066E+14,RBR 2043-2054,RBR 2047,RBR 2047,UM Special Collections
it00032767176,3.12066E+14,ML410 .B88 B78,ML410 .B88 B78,ML410 .B88 B78,UM W.E.B. Du Bois General Collections
it00033335483,3.12066E+14,NA3 .Z5,NA3 .Z5,NA3 .Z5,UM W.E.B. Du Bois General Collections
it00033354940,3.12066E+14,RBR 1514-1515,RBR 1514,RBR 1514,UM Special Collections
it00035101501,3.12066E+14,NEYM 1231-1286,NEYM 1246,NEYM 1246,UM Special Collections
it00034796944,3.12066E+14,V 2900,V 2900,V 2900,UM Media STORAGE
it00034994682,3.12066E+14,RBR 874-982,RBR 920,RBR 920,UM Special Collections
it00035096767,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 973,NEYM 973,UM Special Collections
it00033356480,3.12066E+14,RBR 1964-2038,RBR 2032,RBR 2032,UM Special Collections
it00035104282,3.12066E+14,NEYM 889-891,NEYM 889,NEYM 889,UM Special Collections
it00034994678,3.12066E+14,RBR 874-982,RBR 917,RBR 917,UM Special Collections
it00034933536,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035162740,1261379-30-UMA,JC571 U48a,82 H 382-2,82 H 382-2,UM Media STORAGE
it00035094420,3.12066E+14,NEYM 935-936,NEYM 935,NEYM 935,UM Special Collections
it00034011302,3.12066E+14,HA201 1990e v.1B sec.1-6,HA201 1990e v.1B sec.1,HA201 1990e v.1B sec.1,UM W.E.B. Du Bois General Collections
it00034932452,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035086594,3.12066E+14,"NEYM 244, 896-900",NEYM 899,NEYM 899,UM Special Collections
it00034932432,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.7,HA201 1970 v.7,UM W.E.B. Du Bois General Collections
it00034933618,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00033951713,3.12066E+14,HA201 1990d v.51 sec.1-2,HA201 1990d v.51 sec.2,HA201 1990d v.51 sec.2,UM W.E.B. Du Bois General Collections
it00033183775,3.12066E+14,ML410 .R525 1942,ML410 .R525 1942,ML410 .R525 1942,UM W.E.B. Du Bois General Collections
it00033704024,3.12066E+14,ML113 .H715,ML113 .H715,ML113 .H715,UM W.E.B. Du Bois General Collections
it00034932537,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00034994120,3.12066E+14,Vega 135-144,Vega 143,Vega 143,UM Special Collections
it00033613229,3.12066E+14,ML410.M77 A8,ML410.M77 A8,ML410.M77 A8,UM W.E.B. Du Bois General Collections
it00035158836,3.12066E+14,ML5 .S89,ML5 .S89,ML5 .S89,UM W.E.B. Du Bois Periodicals
it00034932447,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00033009451,3.12066E+14,ML156.2 .G67,ML156.2 .G67,ML156.2 .G67,UM W.E.B. Du Bois General Collections
it00033348224,3.12066E+14,RBR 2043-2054,RBR 2049,RBR 2049,UM Special Collections
it00033644134,3.12066E+14,ML172.S4 M9,ML172.S4 M9,ML172.S4 M9,UM W.E.B. Du Bois General Collections
it00033193597,3.12066E+14,ML410.B42 B41,ML410.B42 B41,ML410.B42 B41,UM W.E.B. Du Bois General Collections
it00034933557,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034985074,3.12066E+14,Winokur 548-601,Winokur 593,Winokur 593,UM Special Collections
it00033232457,654638-630-UMA,ML5 .M657,ML5 .M657,ML5 .M657,UM W.E.B. Du Bois General Collections
it00034997964,3.12066E+14,Savas 1436-1500,Savas 1440,Savas 1440,UM Special Collections
it00034932618,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035023233,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:423,MS 369 Box 9:423,UM Special Collections Archival
it00034991224,3.12066E+14,RBR 730-873,RBR 740,RBR 740,UM Special Collections
it00034977675,3.12066E+14,"NEA 333-371, 424-427, 432-434",NEA 347,NEA 347,UM Special Collections
it00033616842,3.12066E+14,ML1263 .H85 1973,ML1263 .H85 1973,ML1263 .H85 1973,UM W.E.B. Du Bois General Collections
it00034928593,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00035096731,3.12066E+14,"NEYM 956-962, 996, 1046-1075",NEYM 1064,NEYM 1064,UM Special Collections
it00033316599,3.12066E+14,ML3795 .F38,ML3795 .F38,ML3795 .F38,UM W.E.B. Du Bois General Collections
it00035166153,379959-4050-UMA,N1 .B95,N1 .B95,N1 .B95,UM W.E.B. Du Bois Periodicals
it00032670331,3.12066E+14,RBR 1349-1361,RBR 1361,RBR 1361,UM Special Collections
it00035030477,3.12066E+14,"Fraser 883-903, 1024-1047",Fraser 897,Fraser 897,UM Special Collections
it00032759859,3.12066E+14,MT350 .W64 1982,MT350 .W64 1982,MT350 .W64 1982,UM W.E.B. Du Bois General Collections
it00035099898,3.12066E+14,NEYM Pam 139-Pam 147,NEYM Pam 147,NEYM Pam 147,UM Special Collections
it00035099057,3.12066E+14,"NEYM 996, 1148-1154",NEYM 1151,NEYM 1151,UM Special Collections
it00034522396,3.12066E+14,RBR 1641-1644,RBR 1643,RBR 1643,UM Special Collections
it00032643518,3.12066E+14,UB225.G4 M64 1982,UB225.G4 M64 1982,UB225.G4 M64 1982,UM W.E.B. Du Bois General Collections
it00032925639,3.12066E+14,RBR 1903-1939,RBR 1935,RBR 1935,UM Special Collections
it00033262868,3.12066E+14,ML550 .O7,ML550 .O7,ML550 .O7,UM W.E.B. Du Bois General Collections
it00034996100,3.12066E+14,Savas 1261-1276,Savas 1273,Savas 1273,UM Special Collections
it00035008343,3.12066E+14,MS 369 Box 2:57-Box 3:76,MS 369 Box 3:73,MS 369 Box 3:73,UM Special Collections Archival
it00034933602,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034931839,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.7,HA201 1970 v.7,UM W.E.B. Du Bois General Collections
it00034999044,3.12066E+14,Savas 1501-1638,Savas 1562,Savas 1562,UM Special Collections
it00034929873,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.61,HA201 1960 v.61,UM W.E.B. Du Bois General Collections
it00035120272,3.12066E+14,SF774.4 .R48 2017,SF774.4 .R48 2017,SF774.4 .R48 2017,UM Mt. Ida Regular Collection
it00033630468,3.12066E+14,MT3.U5 L33,MT3.U5 L33,MT3.U5 L33,UM W.E.B. Du Bois General Collections
it00035023231,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:426,MS 369 Box 9:426,UM Special Collections Archival
it00035096773,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 972,NEYM 972,UM Special Collections
it00032896942,3.12066E+14,RBR 578-595,RBR 578,RBR 578,UM Special Collections
it00035061555,3.12066E+14,NEA 590,NEA 590,NEA 590,UM Special Collections
it00035100096,3.12066E+14,NEYM 1155-1195,NEYM 1186,NEYM 1186,UM Special Collections
it00034983424,3.12066E+14,RPL 25-31,RPL 31,RPL 31,UM Special Collections
it00033333456,3.12066E+14,ML410.S196 M9 1968,ML410.S196 M9 1968,ML410.S196 M9 1968,UM W.E.B. Du Bois General Collections
it00034926246,3.12066E+14,HA201 1940 v.53-55,HA201 1940 v.55,HA201 1940 v.55,UM W.E.B. Du Bois General Collections
it00035102990,3.12066E+14,"NEYM 866, 1204",NEYM 1204,NEYM 1204,UM Special Collections
it00034932426,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00034931860,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.7,HA201 1970 v.7,UM W.E.B. Du Bois General Collections
it00035023195,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:388,MS 369 Box 9:388,UM Special Collections Archival
it00034986852,3.12066E+14,Winokur 387-401,Winokur 395,Winokur 395,UM Special Collections
it00034927356,3.12066E+14,HA201 1950 v.8-12,HA201 1950 v.8,HA201 1950 v.8,UM W.E.B. Du Bois General Collections
it00032884818,3.12066E+14,RBR 1324-1333,RBR 1331,RBR 1331,UM Special Collections
it00034928612,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00035018194,3.12066E+14,MS 369 Box 4:100-Box 4:101,MS 369 Box 4:101,MS 369 Box 4:101,UM Special Collections Archival
it00034932418,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.7,HA201 1970 v.7,UM W.E.B. Du Bois General Collections
it00033414173,3.12066E+14,ML3790 .C3,ML3790 .C3,ML3790 .C3,UM W.E.B. Du Bois General Collections
it00033930392,3.12066E+14,MT115.B2 P49 1993,MT115.B2 P49 1993,MT115.B2 P49 1993,UM W.E.B. Du Bois General Collections
it00035030957,3.12066E+14,Fraser 904-908,Fraser 904,Fraser 904,UM Special Collections
it00033424538,3.12066E+14,MT85 .R8,MT85 .R8,MT85 .R8,UM W.E.B. Du Bois General Collections
it00035136147,3.12066E+14,NEYM 1370,NEYM 50,NEYM 50,UM Special Collections
it00034927373,3.12066E+14,HA201 1950 v.8-12,HA201 1950 v.12,HA201 1950 v.12,UM W.E.B. Du Bois General Collections
it00033206951,3.12066E+14,"CD1043 .A2 1963, no.12, 16, 20, 29, 38, 48, 50, 51, 54, 55","CD1043 .A2 1963, no.55","CD1043 .A2 1963, no.55",UM W.E.B. Du Bois General Collections
it00035040905,3.12066E+14,PL1129.E5 I684 2015,PL1129.E5 I684 2015,PL1129.E5 I684 2015,UM Media DVD
it00034933401,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034991237,3.12066E+14,RBR 730-873,RBR 750,RBR 750,UM Special Collections
it00035104350,3.12066E+14,NEYM 914-915,NEYM 915,NEYM 915,UM Special Collections
it00032962750,391557-80-UMA,ML1 .O96,ML1 .O96,ML1 .O96,UM W.E.B. Du Bois General Collections
it00034934177,3.12066E+14,HA201 1960 v.2-4,HA201 1960 v.2,HA201 1960 v.2,UM W.E.B. Du Bois General Collections
it00033327467,3.12066E+14,ML3551 .G7 1970,ML3551 .G7 1970,ML3551 .G7 1970,UM W.E.B. Du Bois General Collections
it00034927335,3.12066E+14,HA201 1950 v.4-7,HA201 1950 v.5,HA201 1950 v.5,UM W.E.B. Du Bois General Collections
it00034761842,3.12066E+14,V 3543,V 3544,V 3544,UM Media STORAGE
it00034994687,3.12066E+14,RBR 874-982,RBR 874,RBR 874,UM Special Collections
it00033150706,3.12066E+14,ML410.B26 D58,ML410.B26 D58,ML410.B26 D58,UM W.E.B. Du Bois General Collections
it00034984961,3.12066E+14,Winokur 466-492,Winokur 470,Winokur 470,UM Special Collections
it00033614512,3.12066E+14,ML410.S93 D4,ML410.S93 D4,ML410.S93 D4,UM W.E.B. Du Bois General Collections
it00035045108,3.12066E+14,Fraser 702-703,Fraser 702,Fraser 702,UM Special Collections
it00034939058,3.12066E+14,RBR 521-522,RBR 521,RBR 521,UM Special Collections
it00033582640,3.12066E+14,MT224 .B132,MT224 .B132,MT224 .B132,UM W.E.B. Du Bois General Collections
it00033109395,3.12066E+14,"JV1033 .B27 1836a, etc",JV1033 .B27 1837a,JV1033 .B27 1837a,UM W.E.B. Du Bois General Collections
it00034704847,3.12066E+14,4853,4853,4853,UM Music Media CD
it00034933537,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035108345,3.12066E+14,"NEYM Pam 10, Pam 80, Pam 558",NEYM Pam 10,NEYM Pam 10,UM Special Collections
