item_hrid,barcode,holdings_level_call_number,item_effective_call_number,item_level_call_number,location_name
it00035026167,3.12066E+14,Parker 4-6,Parker 5,Parker 5,UM Special Collections
it00034517894,3.12066E+14,RBR 1529-1536,RBR 1530,RBR 1530,UM Special Collections
it00035157885,379820-3150-UMA,N81 .S3,N81 .S3,N81 .S3,UM W.E.B. Du Bois Periodicals
it00033998184,3.12066E+14,HA201 1990m v.245H sec.1-6,HA201 1990m v.245H sec.5,HA201 1990m v.245H sec.5,UM W.E.B. Du Bois General Collections
it00033356432,3.12066E+14,RBR 1964-2038,RBR 1997,RBR 1997,UM Special Collections
it00034702445,3.12066E+14,HA201 1990d v.20 sec.1-2,HA201 1990d v.20 sec.1,HA201 1990d v.20 sec.1,UM W.E.B. Du Bois General Collections
it00035044690,3.12066E+14,Savas 1744-1852,Savas 1794,Savas 1794,UM Special Collections
it00034994685,3.12066E+14,RBR 874-982,RBR 929,RBR 929,UM Special Collections
it00034932419,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00033455459,3.12066E+14,RBR 171-185,RBR 185,RBR 185,UM Special Collections
it00035057152,3.12066E+14,Fraser 623-626,Fraser 623,Fraser 623,UM Special Collections
it00034933580,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035099062,3.12066E+14,"NEYM 996, 1148-1154",NEYM 1152,NEYM 1152,UM Special Collections
it00035087150,3.12066E+14,"NEYM 97, 1218",NEYM 97,NEYM 97,UM Special Collections
it00035096781,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1082,NEYM 1082,UM Special Collections
it00035061327,3.12066E+14,NEA 588-589,NEA 588,NEA 588,UM Special Collections
it00035061576,3.12066E+14,NEA 592-612,NEA 605,NEA 605,UM Special Collections
it00034983168,3.12066E+14,Winokur 454-461,Winokur 455,Winokur 455,UM Special Collections
it00035023138,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 8:339,MS 369 Box 8:339,UM Special Collections Archival
it00035035311,3.12066E+14,Fraser 1234-1256,Fraser 1255,Fraser 1255,UM Special Collections
it00035022223,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 5:228,MS 369 Box 5:228,UM Special Collections Archival
it00034506349,3.12066E+14,3362,3362,3362,UM Music Media CD
it00034170257,3.12066E+14,RBR 1397-1398,RBR 1398,RBR 1398,UM Special Collections
it00034928531,3.12066E+14,HA201 1960 v.181-186,HA201 1960 v.187,HA201 1960 v.187,UM W.E.B. Du Bois General Collections
it00035016752,3.12066E+14,MS 369 Box 3:80-Box 4:99,MS 369 Box 3:91,MS 369 Box 3:91,UM Special Collections Archival
it00033208897,625378-1920-UMA,TR1 .A62,TR1 .A62,TR1 .A62,UM W.E.B. Du Bois Periodicals
it00034998444,3.12066E+14,Parker 90-93,Parker 91,Parker 91,UM Special Collections
it00035037833,3.12066E+14,RBR 1229-1231,RBR 1229,RBR 1229,UM Special Collections
it00034933630,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.10,HA201 1970 v.10,UM W.E.B. Du Bois General Collections
it00033625522,3.12066E+14,NA9246.K8 S5,NA9246.K8 S5,NA9246.K8 S5,UM W.E.B. Du Bois General Collections
it00032904801,3.12066E+14,,MS 369 Box 3:69,MS 369 Box 3:69,UM Special Collections Archival
it00032925525,3.12066E+14,RBR 1903-1939,RBR 1916,RBR 1916,UM Special Collections
it00035044917,3.12066E+14,DS95.5 .S36 2013,DS95.5 .S36 2013,DS95.5 .S36 2013,UM W.E.B. Du Bois General Collections
it00034933460,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00032748697,329755-1040-UMA,NA9000 .U7,NA9000 .U7,NA9000 .U7,UM W.E.B. Du Bois General Collections
it00035158167,3.12066E+14,ML1 .M2,ML1 .M2,ML1 .M2,UM W.E.B. Du Bois Periodicals
it00033951690,3.12066E+14,HA201 1990d v.49 sec.1-2,HA201 1990d v.49 sec.2,HA201 1990d v.49 sec.2,UM W.E.B. Du Bois General Collections
it00033047790,3.12066E+14,RBR 1334-1338,RBR 1335,RBR 1335,UM Special Collections
it00033831188,3.12066E+14,NA9108 .T82,NA9108 .T82,NA9108 .T82,UM W.E.B. Du Bois General Collections
it00033639504,3.12066E+14,MT55 .S69 1946,MT55 .S69 1946,MT55 .S69 1946,UM W.E.B. Du Bois General Collections
it00035030453,3.12066E+14,"Fraser 883-903, 1024-1047",Fraser 887,Fraser 887,UM Special Collections
it00034914308,3.12066E+14,RBR 403-406,RBR 406,RBR 406,UM Special Collections
it00034933611,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00033477068,3.12066E+14,MT58 .W34,MT58 .W34,MT58 .W34,UM W.E.B. Du Bois General Collections
it00035044664,3.12066E+14,Savas 1744-1852,Savas 1768,Savas 1768,UM Special Collections
it00035101509,3.12066E+14,NEYM 1231-1286,NEYM 1249,NEYM 1249,UM Special Collections
it00034928589,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00034937872,3.12066E+14,RBR 549-577,RBR 576,RBR 576,UM Special Collections
it00034136719,3.12066E+14,HA201 1980 v.1 pt.42 ch.D sec.1-2,HA201 1980 v.1 pt.42 ch.D sec.2,HA201 1980 v.1 pt.42 ch.D sec.2,UM W.E.B. Du Bois General Collections
it00035165523,503183-6680-UMA,N4 .D6,N4 .D6,N4 .D6,UM W.E.B. Du Bois Periodicals
it00032975140,3.12066E+14,RBR 1655-1661,RBR 1659,RBR 1659,UM Special Collections
it00034929876,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.103,HA201 1960 v.103,UM W.E.B. Du Bois General Collections
it00033056218,3.12066E+14,"DK4020 .E45 v. 30, etc",DK4020 .E45 v. 65,DK4020 .E45 v. 65,UM W.E.B. Du Bois General Collections
it00034932532,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035038958,3.12066E+14,RBR 1821-1892,RBR 1845,RBR 1845,UM Special Collections
it00035168470,3.12066E+14,ML1030 .P4,ML1030 .P4,ML1030 .P4,UM W.E.B. Du Bois General Collections
it00033053956,3.12066E+14,"PT1101 .D3 Reihe 17, Bd.6, etc","PT1101 .D3 Reihe 17, Bd.7","PT1101 .D3 Reihe 17, Bd.7",UM W.E.B. Du Bois General Collections
it00033464128,3.12066E+14,ML410.H4 G4,ML410.H4 G4,ML410.H4 G4,UM W.E.B. Du Bois General Collections
it00035035695,3.12066E+14,Fraser 1224-1233,Fraser 1224,Fraser 1224,UM Special Collections
it00035157738,653982-3370-UMA,ML5 .I55,ML5 .I55,ML5 .I55,UM W.E.B. Du Bois Periodicals
it00035102194,3.12066E+14,NEYM 1231-1286,NEYM 1267,NEYM 1267,UM Special Collections
it00034932556,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035087236,3.12066E+14,NEYM 19-20,NEYM 20,NEYM 20,UM Special Collections
it00034998006,3.12066E+14,Savas 1436-1500,Savas 1486,Savas 1486,UM Special Collections
it00034984949,3.12066E+14,Winokur 433-452,Winokur 452,Winokur 452,UM Special Collections
it00033950127,3.12066E+14,MT271 .N49,MT271 .N49,MT271 .N49,UM W.E.B. Du Bois General Collections
it00034985048,3.12066E+14,Winokur 548-601,Winokur 601,Winokur 601,UM Special Collections
it00035028451,3.12066E+14,Fraser 865-870,Fraser 867,Fraser 867,UM Special Collections
it00034928555,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00035011820,3.12066E+14,MS 369 Box 3:90,MS 369 Box 3:90,MS 369 Box 3:90,UM Special Collections Archival
it00032930032,3.12066E+14,PS2020 .F68 v.4,PS2020 .F68 v.31,PS2020 .F68 v.31,UM W.E.B. Du Bois General Collections
it00034984982,3.12066E+14,Winokur 466-492,Winokur 482,Winokur 482,UM Special Collections
it00034197767,3.12066E+14,HA202 .A385 1960a,HA202 .A385 1960a,HA202 .A385 1960a,UM W.E.B. Du Bois General Collections
it00034472044,3.12066E+14,MT50 .A444 1989 Wkbk,MT50 .A444 1989 Wkbk,MT50 .A444 1989 Wkbk,UM W.E.B. Du Bois General Collections
it00035049614,3.12066E+14,Fraser 602-619,Fraser 616,Fraser 616,UM Special Collections
it00035100691,3.12066E+14,NEYM 1-14,NEYM Per 5,NEYM Per 5,UM Special Collections
it00035094678,3.12066E+14,NEYM Pam 175-Pam 176,NEYM Pam 176,NEYM Pam 176,UM Special Collections
it00035023161,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 8:353,MS 369 Box 8:353,UM Special Collections Archival
it00035030499,3.12066E+14,"Fraser 883-903, 1024-1047",Fraser 1039,Fraser 1039,UM Special Collections
it00033462749,3.12066E+14,RBR 1209-1214,RBR 1213,RBR 1213,UM Special Collections
it00034984964,3.12066E+14,Winokur 466-492,Winokur 474,Winokur 474,UM Special Collections
it00032907609,3.12066E+14,MT70 .W7,MT70 .W7,MT70 .W7,UM W.E.B. Du Bois General Collections
it00035096793,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1093,NEYM 1093,UM Special Collections
it00035030980,3.12066E+14,Fraser 909-911,Fraser 911,Fraser 911,UM Special Collections
it00034933380,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00032891505,3.12066E+14,ML3575.A7 T4,ML3575.A7 T4,ML3575.A7 T4,UM W.E.B. Du Bois General Collections
it00034165966,3.12066E+14,RBR 1287-1289,RBR 1289,RBR 1289,UM Special Collections
it00034998012,3.12066E+14,Savas 1436-1500,Savas 1494,Savas 1494,UM Special Collections
it00035100073,3.12066E+14,NEYM 1155-1195,NEYM 1164,NEYM 1164,UM Special Collections
it00033252918,3.12066E+14,N3 .G7,N3 .G7,N3 .G7,UM W.E.B. Du Bois General Collections
it00035104349,3.12066E+14,NEYM 918-920,NEYM 918,NEYM 918,UM Special Collections
it00034846036,3.12066E+14,JK516 .R83 2008,JK516 .R83 2008,JK516 .R83 2008,UM W.E.B. Du Bois General Collections
it00034994665,3.12066E+14,RBR 874-982,RBR 908,RBR 908,UM Special Collections
it00033582738,3.12066E+14,ML2075 .M2,ML2075 .M2,ML2075 .M2,UM W.E.B. Du Bois General Collections
it00034977695,3.12066E+14,"NEA 333-371, 424-427, 432-434",NEA 363,NEA 363,UM Special Collections
it00034933489,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035011606,3.12066E+14,Savas 225-228,Savas 227,Savas 227,UM Special Collections
it00035044646,3.12066E+14,Savas 1672-1743,Savas 1737,Savas 1737,UM Special Collections
it00033397853,3.12066E+14,TR897 .O33,TR897 .O33,TR897 .O33,UM W.E.B. Du Bois General Collections
it00034994679,3.12066E+14,RBR 874-982,RBR 911,RBR 911,UM Special Collections
it00035039052,3.12066E+14,M2 .H6 no.71-72,M2 .H6 no.72,M2 .H6 no.72,UM Music Monument
it00034932590,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035167455,629082-2240-UMA,NX572 .A75,NX572 .A75,NX572 .A75,UM W.E.B. Du Bois General Collections
it00033393248,3.12066E+14,MT40.H5 U64,MT40.H5 U64,MT40.H5 U64,UM W.E.B. Du Bois General Collections
it00034174399,3.12066E+14,RBR 1682-1685,RBR 1684,RBR 1684,UM Special Collections
it00034999031,3.12066E+14,Savas 1501-1638,Savas 1555,Savas 1555,UM Special Collections
it00035157720,653982-3180-UMA,ML5 .I55,ML5 .I55,ML5 .I55,UM W.E.B. Du Bois Periodicals
it00032688934,3.12066E+14,NA12 .R6,NA12 .R6,NA12 .R6,UM W.E.B. Du Bois General Collections
it00035166135,3.12066E+14,N3 .K92,N3 .K92,N3 .K92,UM W.E.B. Du Bois Periodicals
it00035022257,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:259,MS 369 Box 6:259,UM Special Collections Archival
it00034136715,3.12066E+14,HA201 1980 v.1 pt.40 ch.D sec.1-2,HA201 1980 v.1 pt.40 ch.D sec.1,HA201 1980 v.1 pt.40 ch.D sec.1,UM W.E.B. Du Bois General Collections
it00035099069,3.12066E+14,"NEYM 996, 1148-1154",NEYM 1149,NEYM 1149,UM Special Collections
it00034816301,3.12066E+14,5203,5203,5203,UM Music Media CD
it00034999027,3.12066E+14,Savas 1501-1638,Savas 1560,Savas 1560,UM Special Collections
it00035101970,3.12066E+14,"NEYM Pam 16-Pam 17, Pam 559",NEYM Pam 559,NEYM Pam 559,UM Special Collections
it00034928558,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00034991222,3.12066E+14,RBR 730-873,RBR 734,RBR 734,UM Special Collections
it00032602966,3.12066E+14,TR835 .M497a,TR835 .M497a,TR835 .M497a,UM W.E.B. Du Bois General Collections
it00034933519,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035006432,3.12066E+14,Vega 181-185,Vega 184,Vega 184,UM Special Collections
it00034934182,3.12066E+14,HA201 1960 v.2-4,HA201 1960 v.2,HA201 1960 v.2,UM W.E.B. Du Bois General Collections
it00034977674,3.12066E+14,"NEA 333-371, 424-427, 432-434",NEA 333,NEA 333,UM Special Collections
it00033356445,3.12066E+14,RBR 1964-2038,RBR 2021,RBR 2021,UM Special Collections
it00033056372,3.12066E+14,"DK4020 .E45 v. 30, etc",DK4020 .E45 v. 67,DK4020 .E45 v. 67,UM W.E.B. Du Bois General Collections
it00034929815,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.38,HA201 1960 v.38,UM W.E.B. Du Bois General Collections
it00034848164,3.12066E+14,DS135.U4 B37 2007,DS135.U4 B37 2007,DS135.U4 B37 2007,UM Du Bois Reserves
it00034986862,3.12066E+14,Winokur 387-401,Winokur 388,Winokur 388,UM Special Collections
it00034094942,3.12066E+14,HA201 1980 v.2 pt.1D sec.1-2,HA201 1980 v.2 pt.1D sec.1,HA201 1980 v.2 pt.1D sec.1,UM W.E.B. Du Bois General Collections
it00035023136,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 7:325,MS 369 Box 7:325,UM Special Collections Archival
it00034933393,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034951716,3.12066E+14,Gittings 283-289,Gittings 327,Gittings 327,UM Special Collections
it00035061578,3.12066E+14,NEA 592-612,NEA 612,NEA 612,UM Special Collections
it00034250521,3.12066E+14,MT382.V69 R9 v.1,MT382.V69 R9 v.1,MT382.V69 R9 v.1,UM W.E.B. Du Bois General Collections
it00034933526,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035044642,3.12066E+14,Savas 1672-1743,Savas 1738,Savas 1738,UM Special Collections
it00034987686,3.12066E+14,Winokur 410-412,Winokur 410,Winokur 410,UM Special Collections
it00033933250,3.12066E+14,ML336.L4 F6 1964,ML336.L4 F6 1964,ML336.L4 F6 1964,UM W.E.B. Du Bois General Collections
it00035158840,3.12066E+14,ML5 .S89,ML5 .S89,ML5 .S89,UM W.E.B. Du Bois Periodicals
it00034999048,3.12066E+14,Savas 1501-1638,Savas 1583,Savas 1583,UM Special Collections
it00034840182,3.12066E+14,V 3395,V 3395,V 3395,UM Media STORAGE
it00034928548,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00033104885,3.12066E+14,HF5415 .A43 no.33,HF5415 .A43 no.33-40,HF5415 .A43 no.33-40,UM W.E.B. Du Bois General Collections
it00034983158,3.12066E+14,Winokur 454-461,Winokur 456,Winokur 456,UM Special Collections
it00033194827,3.12066E+14,ND547 .P33,ND547 .P33,ND547 .P33,UM W.E.B. Du Bois General Collections
it00035015741,3.12066E+14,MS 369 Box 4:146,MS 369 Box 5:192,MS 369 Box 5:192,UM Special Collections Archival
it00034933419,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034932571,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035044604,3.12066E+14,Savas 1672-1743,Savas 1727,Savas 1727,UM Special Collections
it00035096685,3.12066E+14,"NEYM 956, 996-1045",NEYM 1035,NEYM 1035,UM Special Collections
it00034997961,3.12066E+14,Savas 1436-1500,Savas 1446,Savas 1446,UM Special Collections
it00033603284,3.12066E+14,MT70 .B482 1948,MT70 .B482 1948,MT70 .B482 1948,UM W.E.B. Du Bois General Collections
it00034999073,3.12066E+14,Savas 1501-1638,Savas 1574,Savas 1574,UM Special Collections
it00035038991,3.12066E+14,RBR 1821-1892,RBR 1878,RBR 1878,UM Special Collections
it00033277471,3.12066E+14,RBR 1493-1495,RBR 1495,RBR 1495,UM Special Collections
it00035071625,3.12066E+14,"NEYM 50-52, 1212",NEYM 51,NEYM 51,UM Special Collections
it00033255674,3.12066E+14,ML118 .G94,ML118 .G94,ML118 .G94,UM W.E.B. Du Bois General Collections
it00034929818,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.28,HA201 1960 v.28,UM W.E.B. Du Bois General Collections
it00035096686,3.12066E+14,"NEYM 956, 996-1045",NEYM 1040,NEYM 1040,UM Special Collections
it00034992289,3.12066E+14,RBR 730-873,RBR 829,RBR 829,UM Special Collections
it00035096938,3.12066E+14,NEYM Pam 90-Pam 91,NEYM Pam 91,NEYM Pam 91,UM Special Collections
it00035071522,3.12066E+14,"NEYM 55, 1220, 1292",NEYM 55,NEYM 55,UM Special Collections
it00033945497,3.12066E+14,ML156.2 .B53,ML156.2 .B53,ML156.2 .B53,UM W.E.B. Du Bois General Collections
it00035044560,3.12066E+14,Savas 1672-1743,Savas 1683,Savas 1683,UM Special Collections
it00034831191,3.12066E+14,V 3079,V 3079,V 3079,UM Media STORAGE
it00032695239,3.12066E+14,"DK4020 .E45 v.70, etc",DK4020 .E45 v.70,DK4020 .E45 v.70,UM W.E.B. Du Bois General Collections
it00035028445,3.12066E+14,Fraser 862-864,Fraser 862,Fraser 862,UM Special Collections
it00033955298,3.12066E+14,HA201 1990b v.45 sec.1-2,HA201 1990b v.45 sec.1,HA201 1990b v.45 sec.1,UM W.E.B. Du Bois General Collections
it00035167440,524128-3460-UMA,N1 .A6,N1 .A6,N1 .A6,UM W.E.B. Du Bois Periodicals
it00033163109,3.12066E+14,ML156.9 .A75,ML156.9 .A75,ML156.9 .A75,UM W.E.B. Du Bois General Collections
it00034928603,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00034934270,3.12066E+14,M457.2.D47 Q8 1988,M457.2.D47 Q8 1988,M457.2.D47 Q8 1988,UM Du Bois Reserves
it00034997956,3.12066E+14,Savas 1436-1500,Savas 1438,Savas 1438,UM Special Collections
it00034987698,3.12066E+14,Winokur 410-412,Winokur 412,Winokur 412,UM Special Collections
it00033854601,3.12066E+14,ML3556 .S74 1983,ML3556 .S74 1983,ML3556 .S74 1983,UM W.E.B. Du Bois General Collections
it00033627639,3.12066E+14,ML1092 .S4,ML1092 .S4,ML1092 .S4,UM W.E.B. Du Bois General Collections
it00033023351,3.12066E+14,RBR 1240-1243,RBR 1243,RBR 1243,UM Special Collections
it00034982233,3.12066E+14,Brinley 24-28,Brinley 24,Brinley 24,UM Special Collections
it00034506345,3.12066E+14,3362,3362,3362,UM Music Media CD
it00034997989,3.12066E+14,Savas 1436-1500,Savas 1470,Savas 1470,UM Special Collections
it00035096202,3.12066E+14,"NEYM 956, 996-1045",NEYM 1004,NEYM 1004,UM Special Collections
it00033224028,654857-2620-UMA,N2 .O28,N2 .O28,N2 .O28,UM W.E.B. Du Bois General Collections
it00035166130,3.12066E+14,N3 .K92,N3 .K92,N3 .K92,UM W.E.B. Du Bois Periodicals
it00034933457,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034006905,3.12066E+14,HA201 1990m v.245I sec.1-2,HA201 1990m v.245I sec.1,HA201 1990m v.245I sec.1,UM W.E.B. Du Bois General Collections
it00033638000,3.12066E+14,ML113 .I6 v.B3,ML113 .I6 v.B3,ML113 .I6 v.B3,UM W.E.B. Du Bois General Collections
it00033998339,3.12066E+14,HA201 1990m v.215A sec.1-3,HA201 1990m v.215A sec.1,HA201 1990m v.215A sec.1,UM W.E.B. Du Bois General Collections
it00035157735,653982-3320-UMA,ML5 .I55,ML5 .I55,ML5 .I55,UM W.E.B. Du Bois Periodicals
it00034940270,3.12066E+14,HA201 1940 v.32-34,HA201 1940 v.32,HA201 1940 v.32,UM W.E.B. Du Bois General Collections
it00034928620,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00033070214,3.12066E+14,NB563 .L8,NB563 .L8,NB563 .L8,UM W.E.B. Du Bois General Collections
it00034362381,1493029-20-UMA,QK9 .B8 1774b,QK9 .B8 1774b,QK9 .B8 1774b,UM Special Collections
it00034929884,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.92,HA201 1960 v.92,UM W.E.B. Du Bois General Collections
it00035023220,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:415,MS 369 Box 9:415,UM Special Collections Archival
it00034136701,3.12066E+14,HA201 1980 v.1 pt.16 ch.D sec.1-2,HA201 1980 v.1 pt.16 ch.D sec.2,HA201 1980 v.1 pt.16 ch.D sec.2,UM W.E.B. Du Bois General Collections
it00033050519,3.12066E+14,TR15 .H57,TR15 .H57,TR15 .H57,UM W.E.B. Du Bois General Collections
it00033412533,3.12066E+14,NA737.W7 F7 1965,NA737.W7 F7 1965,NA737.W7 F7 1965,UM W.E.B. Du Bois General Collections
it00034989285,3.12066E+14,Parker 73-74,Parker 74,Parker 74,UM Special Collections
it00034985965,3.12066E+14,Winokur 602-669,Winokur 614,Winokur 614,UM Special Collections
it00033425550,3.12066E+14,ML3551 .W54,ML3551 .W54,ML3551 .W54,UM W.E.B. Du Bois General Collections
it00034984115,3.12066E+14,Savas 605-609,Savas 605,Savas 605,UM Special Collections
it00034159633,1251492-120-UMA,,77 H 202-12,77 H 202-12,UM Media STORAGE
it00034988597,3.12066E+14,"NEA 249-253, 435-461",NEA 445,NEA 445,UM Special Collections
it00035075969,3.12066E+14,NEA 543-546,NEA 544,NEA 544,UM Special Collections
it00034932438,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00032839969,3.12066E+14,ML3845 .H2513 1979,ML3845 .H2513 1979,ML3845 .H2513 1979,UM W.E.B. Du Bois General Collections
it00035023227,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:420,MS 369 Box 9:420,UM Special Collections Archival
it00034929866,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.85,HA201 1960 v.85,UM W.E.B. Du Bois General Collections
it00035023274,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 10:463,MS 369 Box 10:463,UM Special Collections Archival
it00035023137,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 7:327,MS 369 Box 7:327,UM Special Collections Archival
it00034788401,3.12066E+14,V 2869,V 2869,V 2869,UM Media STORAGE
it00033180697,3.12066E+14,ML113 .B54,ML113 .B54,ML113 .B54,UM W.E.B. Du Bois General Collections
it00034932628,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00033258424,3.12066E+14,MT4.N5 J85,MT4.N5 J85,MT4.N5 J85,UM W.E.B. Du Bois General Collections
it00035038964,3.12066E+14,RBR 1821-1892,RBR 1844,RBR 1844,UM Special Collections
it00033136616,3.12066E+14,MT45.D8 S9 1975,MT45.D8 S9 1975,MT45.D8 S9 1975,UM W.E.B. Du Bois General Collections
it00033576902,3.12066E+14,225,225,225,UM Music Media CD
it00033193673,3.12066E+14,ML410.B42 B41,ML410.B42 B41,ML410.B42 B41,UM W.E.B. Du Bois General Collections
it00035030527,3.12066E+14,"Fraser 916, 1400",Fraser 916,Fraser 916,UM Special Collections
it00033964164,3.12066E+14,HA201 1990d v.40 sec.1-3,HA201 1990d v.40 sec.1,HA201 1990d v.40 sec.1,UM W.E.B. Du Bois General Collections
it00033166548,3.12066E+14,NA9040 .N6,NA9040 .N6,NA9040 .N6,UM W.E.B. Du Bois General Collections
it00035019421,3.12066E+14,AGS 4-5,AGS 5,AGS 5,UM Special Collections
it00034932658,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035084168,3.12066E+14,"NEYM 117, 1216-1217",NEYM 1217,NEYM 1217,UM Special Collections
it00034940281,3.12066E+14,HA201 1940 v.32-34,HA201 1940 v.33,HA201 1940 v.33,UM W.E.B. Du Bois General Collections
it00032925659,3.12066E+14,RBR 1903-1939,RBR 1933,RBR 1933,UM Special Collections
it00034980014,3.12066E+14,AGS 189-190,AGS 189,AGS 189,UM Special Collections
it00033094143,3.12066E+14,ML410.S283 A77,ML410.S283 A77,ML410.S283 A77,UM W.E.B. Du Bois General Collections
it00033412647,3.12066E+14,NA737.W7 F7 1965,NA737.W7 F7 1965,NA737.W7 F7 1965,UM W.E.B. Du Bois General Collections
it00035096664,3.12066E+14,"NEYM 956, 996-1045",NEYM 1011,NEYM 1011,UM Special Collections
it00032854587,3.12066E+14,NA2600 .B747,NA2600 .B747,NA2600 .B747,UM W.E.B. Du Bois General Collections
it00032670306,3.12066E+14,RBR 1349-1361,RBR 1350,RBR 1350,UM Special Collections
it00033332698,3.12066E+14,NA9241.F52 T35,NA9241.F52 T35,NA9241.F52 T35,UM W.E.B. Du Bois General Collections
it00034928576,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00034288656,3.12066E+14,HA201 1930 v.9-10,HA201 1930 v.9,HA201 1930 v.9,UM W.E.B. Du Bois General Collections
it00032748576,3.12066E+14,ML410.G5 A11 1969,ML410.G5 A11 1969,ML410.G5 A11 1969,UM W.E.B. Du Bois General Collections
it00034995621,3.12066E+14,RBR 983-995,RBR 986,RBR 986,UM Special Collections
it00034148847,3.12066E+14,MT243.B29 M4,MT243.B29 M4,MT243.B29 M4,UM W.E.B. Du Bois General Collections
it00033601613,3.12066E+14,"JK10 .A35 1967, v.1-4","JK10 .A35 1967, v.4","JK10 .A35 1967, v.4",UM W.E.B. Du Bois General Collections
it00033335499,3.12066E+14,NA3 .Z5,NA3 .Z5,NA3 .Z5,UM W.E.B. Du Bois General Collections
it00035035075,3.12066E+14,RBR 1193-1194,RBR 1194,RBR 1194,UM Special Collections
it00035022254,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:258,MS 369 Box 6:258,UM Special Collections Archival
it00032961397,3.12066E+14,"CD1043 .A2 1963 no. 7, 24, 30",CD1043 .A2 1963 no.7,CD1043 .A2 1963 no.7,UM W.E.B. Du Bois General Collections
it00034988500,3.12066E+14,Winokur 385-386,Winokur 386,Winokur 386,UM Special Collections
